noise | bruit | Lärm | ruido | rumore | ruído | शोर | 噪音 | шум | Geräusch
complaint | plainte | Beschwerde | queja | reclamo | reclamação | शिकायत | 投诉 | жалоба | Beschwer
mediation | médiation | Mediation | mediación | mediazione | mediação | मध्यस्थता | 调解 | посредничество | Mediation
neighbor | voisin | Nachbar | vecino | vicino | vizinho | पड़ोसी | 邻居 | сосед | Noper
dispute | dispute | Streit | disputa | controversia | disputa | विवाद | 争议 | спор | Streed
conversation | conversation | Gespräch | conversación | conversazione | conversa | बातचीत | 对话 | разговор | Gespräch
settlement | règlement | Regelung | acuerdo | accordo | acordo | निपटारा | 和解 | settlement | Regulatioun
loud | fort | laut | ruidoso | rumoroso | barulhento | तेज़ | 吵 | громкий | staark
quiet | tranquille | ruhig | tranquilo | tranquillo | tranquilo | चुपचाप | 安静 | спокойный | roudevil
whisper | chuchoter | flüstern | susurrar | sussurrare | sussurrar | फुसफुसाना | 低声说 | шептать | flüstern
volume | volume | Lautstärke | volumen | volume | volume | मात्रा | 音量 | громкость | Lautstärker
intervention | intervention | Eingreifen | intervención | intervento | intervenção | हस्तक्षेप | 干预 | вмешательство | Interventioun
agreement | accord | Zustimmung | acuerdo | accordo | acordo | सहमति | 协议 | соглашение | Accord
peaceful | paisible | friedlich | pacífico | pacifico | pacífico | शांति | 和平 | мирный | friddlech
disturbance | perturbation | Störung | disturbio | disturbo | perturbação | विघटन | 干扰 | беспокойство | Stéierung
calm | calme | ruhig | tranquilo | calmo | calmo | शांत | 冷静 | спокойный | roueg
issue | problème | Problem | problema | problema | questão | मुद्दा | 问题 | проблема | Thema
resolution | résolution | Lösung | resolución | risoluzione | resolução | समाधान | 解决方案 | решение | Léisung
communication | communication | Kommunikation | comunicación | comunicazione | comunicação | संचार | 交流 | коммуникация | Kommunikatioun
respect | respect | Respekt | respeto | rispetto | respeito | सम्मान | 尊重 | уважение | Respekt
tolerance | tolérance | Toleranz | tolerancia | tolleranza | tolerância | सहिष्णुता | 容忍 | терпимость | Toleranz
feedback | retour | Rückmeldung | retroalimentación | feedback | feedback | फीडबैक | 反馈 | отзыв | Feedback
discussion | discussion | Diskussion | discusión | discussione | discussão | चर्चा | 讨论 | обсуждение | Diskussioun
tension | tension | Spannung | tensión | tensione | tensão | तनाव | 紧张 | напряжение | Spannung
understanding | compréhension | Verständnis | comprensión | comprensione | compreensão | समझना | 理解 | понимание | Verständnis
patience | patience | Geduld | paciencia | pazienza | paciência | धैर्य | 耐心 | терпение | Geduld
cooperation | coopération | Kooperation | cooperación | cooperazione | cooperação | सहयोग | 合作 | сотрудничество | Zusammenarbeit
reconciliation | réconciliation | Versöhnung | reconciliación | riconciliazione | reconciliação | सुलह | 和解 | примирение | Versöhnung
sound | son | Klang | sonido | suono | som | ध्वनि | 声音 | звук | Klang
apology | excuse | Entschuldigung | disculpa | scusa | desculpa | क्षमा | 道歉 | извинение | Entschuldigung
compromise | compromis | Kompromiss | compromiso | compromesso | compromisso | समझौता | 妥协 | компромисс | Kompromiss
explanation | explication | Erklärung | explicación | spiegazione | explicação | व्याख्या | 解释 | объяснение | Erklärung
circumstance | circonstance | Umstand | circunstancia | circostanza | circunstância | परिस्थिति | 情况 | обстоятельство | Umstand
frustration | frustration | Frustration | frustración | frustrazione | frustração | निराशा | 挫折 | разочарование | Frustration
patrol | patrouiller | patrouille | patrullar | pattuglia | patrulha | गश्ती | 巡逻 | патруль | Patrouille
regulation | réglementation | Vorschrift | regulación | regolamento | regulamento | नियम | 规定 | регулирование | Regulatioun
request | demander | Anfrage | solicitud | richiesta | pedido | अनुरोध | 请求 | запрос | Demand
response | répondre | Antwort | respuesta | risposta | resposta | प्रतिक्रिया | 反应 | ответ | Äntwert
incidents | incident | Vorfall | incidentes | incidenti | incidentes | घटनाएँ | 事件 | инциденты | Inzidenti
conflict | conflit | Konflikt | conflicto | conflitto | conflito | संघर्ष | 冲突 | конфликт | Konflikt
suggestion | suggestion | Vorschlag | sugerencia | suggerimento | sugestão | सुझाव | 建议 | предложение | Virdeel
choice | choix | Wahl | opción | scelta | escolha | चयन | 选择 | выбор | Wäicht
reaction | réaction | Reaktion | reacción | reazione | reação | प्रतिक्रिया | 反应 | реакция | Reaktioun
home | maison | Zuhause | hogar | casa | lar | घर | 家 | дом | Haus
environment | environnement | Umwelt | medio ambiente | ambiente | meio ambiente | पर्यावरण | 环境 | окружение | Ëmfeld
comfort | confort | Komfort | comodidad | comfort | conforto | आराम | 舒适 | комфорт | Komfort
impact | impact | Einfluss | impacto | impatto | impacto | प्रभाव | 影响 | влияние | Impakt
situation | situation | Situation | situación | situazione | situação | स्थिति | 情况 | ситуация | Situatioun
problem | problème | Problem | problema | problema | problema | समस्या | 问题 | проблема | Problem
uppity | imbu | arrogant | presumido | presuntuoso | pretensioso | हठी | 趾高气扬 | высокомерный | arrogant
solution | solution | Lösung | solución | soluzione | solução | समाधान | 解决方案 | решение | Lösung
civility | civilité | Höflichkeit | civismo | civiltà | civilidade | शिष्टता | 礼貌 | вежливость | Höflichkeit
friendliness | amitié | Freundlichkeit | amabilidad | cordialità | amigabilidade | मित्रता | 友好 | дружелюбие | Frëndlechkeet
hearing | audition | Anhörung | audiencia | udienza | audiência | सुनवाई | 听证 | слушание | Optrëff
policy | politique | Politik | política | politica | política | नीति | 政策 | политика | Politik
respectful | respectueux | respektvoll | respetuoso | rispettoso | respeitoso | आदरभावपूर्ण | 尊重的 | уважительный | respektvoll
thorough | approfondi | gründlich | minucioso | accurato | minucioso | Thorough | 彻底 | тщательный | gründlich
neighborly | amical | nachbarlich | vecino | cordiale | amigável | पड़ोसी | 邻里 | соседский | nachbarlech
attitude | attitude | Einstellung | actitud | atteggiamento | atitude | दृष्टिकोण | 态度 | отношение | Haltung
balance | équilibre | Gleichgewicht | equilibrio | equilibrio | equilíbrio | संतुलन | 平衡 | баланс | Balance
feedback | retour | Rückmeldung | retroalimentación | feedback | feedback | फीडबैक | 反馈 | обратная связь | Rückmeldung
interpersonal | interpersonnel | zwischenmenschlich | interpersonal | interpersonale | interpessoal | अंतरव्यक्तिगत | 人际 | межличностный | interpersonal
assertiveness | assertivité | Durchsetzungsvermögen | asertividad | assertività | assertividade | आत्मविश्वास | 自信 | настойчивость | Assertivité
conduct | conduite | Verhalten | conducta | condotta | conduta | व्यवहार करना | 行为 | проводить | Conduite
mitigation | atténuation | Minderung | mitigación | mitigazione | mitigação | शमन | 缓解 | смягчение | Mëschung
