residence permit | titre de séjour | Aufenthaltserlaubnis | permiso de residencia | permesso di soggiorno | autorização de residência | निवास परमिट | 居留许可 | вид на жительство | Aufenthaltsgenehmigung
renewal | renouvellement | Verlängerung | renovación | rinnovo | renovação | नवीकरण | 续期 | продление | Erneuerung
application | demande | Antrag | solicitud | domanda | solicitação | आवेदन | 申请 | заявление | Antrag
application form | formulaire de demande | Antragsformular | formulario de solicitud | modulo di domanda | formulário de solicitação | आवेदन पत्र | 申请表 | форма заявки | Bewerbungsformular
applicant | demandeur | Antragsteller | solicitante | richiedente | requerente | आवेदक | 申请人 | заявитель | Antragsteller
immigration office | bureau d'immigration | Einwanderungsbehörde | oficina de inmigración | ufficio immigrazione | escritório de imigração | आप्रवासन कार्यालय | 移民局 | иммиграционная служба | Einwanderungsbüro
passport | passeport | Reisepass | pasaporte | passaporto | passaporte | पासपोर्ट | 护照 | паспорт | Pass
id card | carte d'identité | Personalausweis | tarjeta de identificación | carta d'identità | cartão de identificação | पहचान पत्र | 身份证 | удостоверение личности | Identitätskarte
address | adresse | Adresse | dirección | indirizzo | endereço | पता | 地址 | адрес | Adresse
proof of address | justificatif de domicile | Wohnsitznachweis | comprobante de domicilio | attestato di residenza | comprovante de endereço | पते का प्रमाण | 住址证明 | подтверждение адреса | Wohnsitzbestätigung
document | document | Dokument | documento | documento | documento | दस्तावेज़ | 文件 | документ | Dokument
fee | frais | Gebühr | tarifa | tassa | taxa | शुल्क | 费用 | сбор | Gebühr
receipt | reçu | Quittung | recibo | ricevuta | recibo | रसीद | 收据 | квитанция | Quittung
deadline | date limite | Frist | fecha límite | scadenza | prazo | अंतिम तिथि | 截止日期 | срок | Frist
appointment | rendez-vous | Termin | cita | appuntamento | compromisso | मुलाकात | 预约 | встреча | Rendez-vous
queue | file d'attente | Schlange | cola | coda | fila | कतार | 排队 | очередь | Warteschlange
officer | agent | Beamter | oficial | ufficiale | agente | अधिकारी | 官员 | офицер | Beamten
email | courriel | E-Mail | correo electrónico | email | e-mail | ईमेल | 电子邮件 | электронная почта | E-Mail
phone number | numéro de téléphone | Telefonnummer | número de teléfono | numero di telefono | número de telefone | फोन नंबर | 电话号码 | номер телефона | Telephonnummer
payment | paiement | Zahlung | pago | pagamento | pagamento | भुगतान | 支付 | платеж | Zoulassung
signature | signature | Unterschrift | firma | firma | assinatura | हस्ताक्षर | 签名 | подпись | Signatur
photo | photo | Foto | foto | foto | foto | फोटो | 照片 | фото | Foto
fingerprint | empreinte digitale | Fingerabdruck | huella digital | impronta digitale | impressão digital | अंगूठा छाप | 指纹 | отпечаток пальца | Daumendruck
biometric data | données biométriques | biometrische Daten | datos biométricos | dati biometrici | dados biométricos | बायोमेट्रिक डेटा | 生物识别数据 | биометрические данные | biometresch Daten
requirement | exigence | Anforderung | requisito | requisito | requisito | आवश्यकता | 要求 | требование | Anforderung
