bread | pain | Brot | pan | pane | pão | रोटी | 面包 | хлеб | Brout
cake | gâteau | Kuchen | pastel | torta | bolo | केक | 蛋糕 | торт | Tört
cookie | biscuit | Keks | galleta | biscotto | biscoito | कुकी | 饼干 | печенье | Kéier
pastry | pâte | Gebäck | pastelería | pasta | massa | पेस्ट्री | 糕点 | выпечка | Pascht
roll | petit pain | Brötchen | bollo | panino | pão | रोल | 卷面包 | рулет | Rull
croissant | croissant | Croissant | croissant | cornetto | croissant | क्रोसाँट | 可颂 | круассан | Croissant
donut | beignet | Donut | donut | ciambella | donut | डोनट | 甜甜圈 | пончик | Donut
biscuit | biscuit | Keks | galleta | biscotto | biscoito | बिस्किट | 饼干 | печенье | Biscuit
loaf | miche | Laib | pan | pagnotta | pão | रोटी | 面包 | хлеб | Laib
dough | pâte | Teig | masa | impasto | massa | आटा | 面团 | тесто | Teig
filling | garniture | Füllung | relleno | ripieno | recheio | भरना | 填料 | начинка | Füllung
frosting | glaçage | Frosting | glaseado | glassa | cobertura | आइसिंग | 糖霜 | глазурь | Glaas
jam | confiture | Marmelade | mermelada | marmellata | geléia | जैम | 果酱 | варенье | Konfitur
cream | crème | Sahne | crema | panna | creme | मलाई | 奶油 | сливки | Crème
butter | beurre | Butter | mantequilla | burro | manteiga | मक्खन | 黄油 | масло | Botter
sugar | sucre | Zucker | azúcar | zucchero | açúcar | चीनी | 糖 | сахар | Zucker
flour | farine | Mehl | harina | farina | farinha | आटा | 面粉 | мука | Miel
oven | four | Ofen | horno | forno | forno | ओवन | 烤箱 | духовка | Uewen
baker | boulanger | Bäcker | panadero | panettiere | padeiro | बेकर | 面包师 | пекарь | Bäcker
counter | comptoir | Theke | mostrador | banco | balcão | काउंटर | 柜台 | прилавок | Theker
shelf | étagère | Regal | estante | scaffale | prateleira | शेल्फ | 架子 | полка | Regal
tray | plateau | Tablett | bandeja | vassoio | bandeja | ट्रे | 托盘 | поднос | Plack
plate | assiette | Teller | plato | piatto | prato | प्लेट | 盘子 | тарелка | Plack
warm | chaud | warm | tibio | caldo | morno | गर्म | 温暖 | теплый | waarm
fresh | frais | frisch | fresco | fresco | fresco | ताजा | 新鲜 | свежий | frisch
sweet | doux | süß | dulce | dolce | doce | मीठा | 甜 | сладкий | süß
salty | salé | salzig | salado | salato | salgado | नमकीन | 咸 | солёный | salzig
soft | doux | weich | blando | morbido | macio | मुलायम | 柔软 | мягкий | weich
hard | dur | hart | duro | duro | duro | कठिन | 硬 | твердый | hart
