hearing | audition | Anhörung | audiencia | ascolto | audição | सुनवाई | 听证 | слушание | Vernehmung
misconduct | mauvaise conduite | Fehlverhalten | mala conducta | cattiva condotta | má conduta | दुराचार | 不当行为 | злоупотребление | Fehlverhalten
plagiarism | plagiat | Plagiat | plagio | plagio | plágio | साहित्य चोरी | 抄袭 | плагиат | Plagiat
evidence | preuve | Beweis | evidencia | prova | evidência | साक्ष्य | 证据 | доказательство | Beweis
investigation | enquête | Untersuchung | investigación | indagine | investigação | जांच | 调查 | расследование | Untersuchung
testimony | témoignage | Zeugenaussage | testimonio | testimonianza | testemunho | गवाही | 证词 | свидетельство | Aussage
defense | défense | Verteidigung | defensa | difesa | defesa | रक्षा | 辩护 | защита | Verteidigung
accusation | accusation | Beschuldigung | acusación | accusa | acusação | आरोप | 指控 | обвинение | Anschuldigung
witness | témoin | Zeuge | testigo | testimone | testemunha | गवाह | 证人 | свидетель | Zeien
consequences | conséquences | Konsequenzen | consecuencias | conseguenze | consequências | परिणाम | 结果 | последствия | Konsequenzen
sanction | sanction | Sanktion | sanción | sanzione | sanção | सजा | 制裁 | санкция | Sanktioun
conference | conférence | Konferenz | conferencia | conferenza | conferência | सम्मेलन | 会议 | конференция | Konferenz
panel | panel | Gremium | panel | pannello | painel | पैनल | 小组 | панель | Panel
procedure | procédure | Verfahren | procedimiento | procedura | procedimento | प्रक्रिया | 程序 | процедура | Prozedur
policy | politique | Politik | política | politica | política | नीति | 政策 | политика | Politik
guideline | ligne directrice | Richtlinie | línea guía | linee guida | diretriz | मार्गदर्शिका | 指导方针 | руководство | Richtlijn
statement | déclaration | Aussage | declaración | dichiarazione | declaração | बयान | 声明 | заявление | Erklärung
truth | vérité | Wahrheit | verdad | verità | verdade | सत्य | 真理 | истина | Wourecht
integrity | intégrité | Integrität | integridad | integrità | integridade | ईमानदारी | 正直 | целостность | Integritéit
academic | académique | akademisch | académico | accademico | acadêmico | अकादमिक | 学术的 | академический | akademesch
student | étudiant | Student | estudiante | studente | estudante | छात्र | 学生 | студент | Student
report | rapport | Bericht | informe | rapporto | relatório | रिपोर्ट | 报告 | отчет | Rapport
address | adresse | Adresse | dirección | indirizzo | endereço | पता | 地址 | адрес | Adresse
decision | décision | Entscheidung | decisión | decisione | decisão | निर्णय | 决定 | решение | Entscheedung
appeal | appel | Berufung | apelación | appello | apelação | अपील | 吸引 | обращение | Appell
conclusion | conclusion | Schlussfolgerung | conclusión | conclusione | conclusão | निष्कर्ष | 结论 | вывод | Schlussfolgerung
fairness | équité | Fairness | equidad | equità | justiça | निष्पक्षता | 公平 | справедливость | Gerechtheet
test | test | Test | prueba | test | teste | परीक्षण | 测试 | тест | Test
claim | revendication | Anspruch | reclamación | richiesta | reivindicação | दावा | 声明 | требование | Forderung
