permit | permis | Genehmigung | permiso | permesso | licença | अनुमति | 许可 | разрешение | Geneemlegung
renovation | rénovation | Renovierung | renovación | ristrutturazione | renovação | नवीनीकरण | 翻新 | реновация | Renovatioun
construction | construction | Bau | construcción | costruzione | construção | निर्माण | 建设 | строительство | Konstruktion
approval | approbation | Genehmigung | aprobación | approvazione | aprovação | अनुमोदन | 批准 | одобрение | Geneemlegung
application | demande | Antrag | solicitud | domanda | solicitação | आवेदन | 申请 | заявка | Demande
project | projet | Projekt | proyecto | progetto | projeto | परियोजना | 项目 | проект | Projet
builder | constructeur | Bauunternehmer | constructor | costruttore | construtor | निर्माणकर्ता | 建造者 | строитель | Builder
contractor | entrepreneur | Auftragnehmer | contratista | appaltatore | empreiteiro | ठेकेदार | 承包商 | подрядчик | Contractor
inspection | inspection | Inspektion | inspección | ispezione | inspeção | निरीक्षण | 检查 | инспекция | Inspektioun
regulations | régulations | Vorschriften | regulaciones | regolamenti | regulamentos | नियमावली | 规章 | правила | Reglementer
zoning | zonage | Bebauungsplanung | zonificación | pianificazione | zoneamento | क्षेत्र योजना | 区域规划 | зонирование | Zounung
code | code | Code | código | codice | código | कोड | 法规 | кодекс | Code
licence | licence | Lizenz | licencia | licenza | licença | लाइसेंस | 许可证 | лицензия | Lizenz
compliance | conformité | Einhaltung | cumplimiento | conformità | conformidade | अनुपालन | 合规性 | соблюдение | Konformitéit
requirement | exigence | Anforderung | requisito | requisito | requisito | आवश्यकता | 要求 | требование | Ufuerderung
neighborhood | quartier | Nachbarschaft | vecindario | quartiere | vizinhança | पड़ोस | 邻里 | район | Nopeschaf
planning | planification | Planung | planificación | pianificazione | planejamento | योजना | 规划 | планирование | Planung
design | conception | Design | diseño | design | design | डिज़ाइन | 设计 | дизайн | Design
contract | contrat | Vertrag | contrato | contratto | contrato | अनुबंध | 合同 | контракт | Vertrag
estimate | estimation | Schätzung | estimación | stima | estimativa | अनुमान | 估算 | оценка | Schätzung
cost | coût | Kosten | costo | costo | custo | लागत | 成本 | стоимость | Käschte
materials | matériaux | Materialien | materiales | materiali | materiais | सामगृह | 材料 | материалы | Materialien
safety | sécurité | Sicherheit | seguridad | sicurezza | segurança | सुरक्षा | 安全 | безопасность | Sécherheet
standards | normes | Standards | normas | standard | padrões | मानक | 标准 | стандарты | Standarden
environment | environnement | Umwelt | medio ambiente | ambiente | meio ambiente | पर्यावरण | 环境 | окружающая среда | Umwelt
