utility | utilité | Nutzen | utilidad | utilità | utilidade | उपयोग | 实用 | утилита | Utilitéit
tariff | tarif | Tarif | tarifa | tariffa | tarifa | दर | 关税 | тариф | Tarif
comparison | comparaison | Vergleich | comparación | confronto | comparação | तुलना | 比较 | сравнение | Vergläich
cost | coût | Kosten | costo | costo | custo | लागत | 成本 | стоимость | Käschte
price | prix | Preis | precio | prezzo | preço | मूल्य | 价格 | цена | Präis
rate | taux | Satz | tasa | tasso | taxa | दर | 费率 | ставка | Tarif
billing | facturation | Abrechnung | facturación | fatturazione | faturamento | बिलिंग | 账单 | выставление счетов | Rechnung
service | service | Dienst | servicio | servizio | serviço | सेवा | 服务 | услуга | Service
provider | fournisseur | Anbieter | proveedor | fornitore | fornecedor | प्रदाता | 提供者 | поставщик | Anbieter
consumer | consommateur | Verbraucher | consumidor | consumatore | consumidor | उपभोक्ता | 消费者 | потребитель | Konsument
energy | énergie | Energie | energía | energia | energia | ऊर्जा | 能量 | энергия | Energie
electricity | électricité | Elektrizität | electricidad | elettricità | eletricidade | बिजली | 电 | электричество | Elektizitéit
gas | gaz | Gas | gas | gas | gás | गैस | 气 | газ | Gas
water | eau | Wasser | agua | acqua | água | पानी | 水 | вода | Waasser
discount | remise | Rabatt | descuento | sconto | desconto | छूट | 折扣 | скидка | Remise
fee | frais | Gebühr | tarifa | tassa | taxa | शुल्क | 费用 | плата | Gebühr
budget | budget | Budget | presupuesto | budget | orçamento | बजट | 预算 | бюджет | Budget
plan | plan | Plan | plan | piano | plano | योजना | 计划 | план | Plang
monthly | mensuel | monatlich | mensual | mensile | mensal | मासिक | 每月 | ежемесячный | monatlech
annual | annuel | jährlich | anual | annuo | anual | वार्षिक | 年度 | годовой | jarelt
usage | utilisation | Nutzung | uso | uso | uso | उपयोग | 使用 | использование | Nutzung
estimate | estimer | schätzen | estimar | stimare | estimar | अनुमान | 估计 | оценка | schätzen
increase | augmenter | erhöhen | aumentar | aumentare | aumentar | बढ़ाना | 增加 | увеличение | erhéijen
decrease | diminuer | verringern | disminuir | diminuire | diminuir | घटाना | 减少 | уменьшение | verringeren
fixed | fixe | fest | fijo | fisso | fixo | स्थिर | 固定 | фиксированный | fixéiert
variable | variable | variabel | variable | variabile | variável | परिवर्तनशील | 变量 | переменный | variabel
contract | contrat | Vertrag | contrato | contratto | contrato | अनुबंध | 合同 | контракт | Kontrakt
switch | interrupteur | Schalter | interruptor | interruttore | interruptor | स्विच | 开关 | переключатель | Schalter
