utility | utilité | Nutznießung | utilidad | utilità | utilidade | उपयोगिता | 效用 | полезность | Nutzungsrecht
electricity | électricité | Elektrizität | electricidad | elettricità | eletricidade | बिजली | 电 | электричество | Elektrizität
gas | gaz | Gas | gas | gas | gás | गैस | 气 | газ | Gas
water | eau | Wasser | agua | acqua | água | पानी | 水 | вода | Waasser
internet | internet | Internet | internet | internet | internet | इंटरनेट | 互联网 | интернет | Internet
heating | chauffage | Heizung | calefacción | riscaldamento | aquecimento | हीटिंग | 供暖 | отопление | Erwäermung
contract | contrat | Vertrag | contrato | contratto | contrato | अनुबंध | 合同 | контракт | Kontrakt
service | service | Dienst | servicio | servizio | serviço | सेवा | 服务 | услуга | Service
provider | prestataire | Anbieter | proveedor | fornitore | fornecedor | प्रदाता | 提供者 | провайдер | Anbieter
supplier | fournisseur | Lieferant | suministro | fornitore | fornecedor | आपूर्तिकर्ता | 供应商 | поставщик | Lieferant
customer | client | Kunde | cliente | cliente | cliente | ग्राहक | 客户 | клиент | Klient
tenant | locataire | Mieter | inquilino | inquilino | inquilino | किरायेदार | 租户 | арендатор | Mieter
landlord | propriétaire | Vermieter | casero | padrone | senhorio | मकान मालिक | 房东 | домовладелец | Vermieter
address | adresse | Adresse | dirección | indirizzo | endereço | पता | 地址 | адрес | Adress
apartment | appartement | Wohnung | apartamento | appartamento | apartamento | अपार्टमेंट | 公寓 | квартира | Appartement
account | compte | Konto | cuenta | conto | conta | खाता | 账户 | счет | Konto
bill | facture | Rechnung | factura | fattura | fatura | बिल | 账单 | счет | Rechnung
payment | paiement | Zahlung | pago | pagamento | pagamento | भुगतान | 支付 | оплата | Zoul
deposit | dépôt | Einzahlung | depósito | deposito | depósito | जमा | 存款 | депозит | Depot
fee | frais | Gebühr | tarifa | tassa | taxa | शुल्क | 费用 | сбор | Gebühr
rate | tarif | Rate | tasa | tariffa | tarifa | दर | 费率 | ставка | Rüf
plan | plan | Plan | plan | piano | plano | योजना | 计划 | план | Plang
meter | compteur | Zähler | medidor | misuratore | medidor | मीटर | 表 | метр | Meter
connection | connexion | Verbindung | conexión | connessione | conexão | संबंध | 连接 | соединение | Verbindung
installation | installation | Installation | instalación | installazione | instalação | स्थापना | 安装 | установка | Installatioun
identification | identification | Identifizierung | identificación | identificazione | identificação | पहचान | 识别 | идентификация | Identifikatioun
apply | appliquer | anwenden | aplicar | applicare | aplicar | आवेदन करना | 申请 | применять | Uwendungen
sign | signer | unterschreiben | firmar | firmare | assinar | हस्ताक्षर करना | 签名 | подписывать | engagéieren
register | s'inscrire | registrieren | registrarse | registrare | registrar | पंजीकरण करना | 注册 | регистрировать | anmächten
choose | choisir | wählen | elegir | scegliere | escolher | चुनना | 选择 | выбирать | wielen
change | changer | ändern | cambiar | cambiare | mudar | बदलना | 变化 | менять | änneren
start | commencer | anfangen | empezar | iniziare | começar | शुरू करना | 开始 | начинать | starten
end | fin | Ende | fin | fine | fim | अंत | 结束 | конец | Enn
cancel | annuler | stornieren | cancelar | annullare | cancelar | रद्द करना | 取消 | отменить | annuléieren
renew | renouveler | erneuern | renovar | rinnovare | renovar | नवीनीकरण करना | 更新 | обновить | erneieren
confirm | confirmer | bestätigen | confirmar | confermare | confirmar | पुष्टि करना | 确认 | подтвердить | confirméieren
provide | fournir | bereitstellen | proporcionar | fornire | fornecer | प्रदान करना | 提供 | обеспечить | zur Verfügung stellen
submit | soumettre | einreichen | enviar | inviare | enviar | जमा करना | 提交 | подать | ofginn
